Concept name,Alternative Concept name,Scope or Descriptive Note,Broader Concept Name
African American churches,Black churches,Churches organized or operated primarily by African Americans.,
African American preachers,Black pastors; Spiritual leaders; Spiritmen,African Americans who function as the spiritual leaders.,
Church mothers,,Elderly and beloved female leaders in African American churches.,African American church related CPF
Church elders/deacons,,Elders and deacons in churches.,African American church related CPF
African American religion members,,Persons who are members of religious faiths.,
Spirituality related CPF,,,Slavery era related CPF
Prophets,,Persons who lead by divine inspiration.,Spirituality related CPF
Spirit inspired persons,,Persons inspired by spiritual beliefs.,Spirituality related CPF
Spiritual leaders,,Persons who are spiritual leaders.,Spirituality related CPF
Ritual practice related CPF,,,Slavery era related CPF
Ceremonial ritual associated persons,,,Ritual practice related CPF
Hush harbors,Brush arbors; Hush arbors; Brush harbors,"Areas in the woods, perhaps with open-sided shelters, used as places of worship. 
Sites used prior to emancipation as secret places that enslaved persons snuck to for worship.

https://en.wikipedia.org/wiki/Hush_harbor

https://www.attawellsummer.com/forthosebefore/tag/brush+arbor

https://en.wikipedia.org/wiki/Slave_patrol
",Ritual practice related CPF
Hush harbor participants,Brush arbor participants; Hush arbor participants; Brush harbor participants,Participants in hush harbor events.,Ritual practice related CPF
Hush harbor precher,,,Ritual practice related CPF
Funeral related CPF,,,Slavery era related CPF
Funeral associated persons,,Persons associated with funeral homes.,Funeral related CPF
Funeral home owners,,Persons who owned funeral homes.,Funeral related CPF
Funeral homes,,,Funeral related CPF
Persons celebrated with homegoing services,,"Deceased persons celebrated during funeral rites as free and going home to better places. In early tradition, this was a return to Africa, and for more modern tradition going to Heaven. ",Funeral related CPF
Social group related CPF,,,Slavery era related CPF
Secret societies,,Organized groups with membership and functions that are secret.,Social group related CPF
Secret society associated persons,,Persons associated with secret societies.,Social group related CPF
Brotherhoods / Unions ,,Organized groups of workers formed to gain common rights and conditions.,Social group related CPF
Social group members,,Persons who have membership in social groups.,Social group related CPF
Manufacturing related CPF,,,Slavery era related CPF
Apprentices,,"Persons with apprenticeships to learn trades from skilled employers, usually for fixed periods of time at low wages.",Manufacturing related CPF
Apprenticeship related CPF,,CPF associated with apprenticeships.,Manufacturing related CPF
Manufacturers,,Persons or companies that make merchandise for sale.,Manufacturing related CPF
Factory workers,,Persons who work in factories.,Manufacturing related CPF
Manufacturing sites,,Places where merchandise is manufactured/made.,Manufacturing related CPF
Medical related CPF,,,Slavery era related CPF
Patients,,Persons who receive treatments or medical care.,Medical related CPF
Medical treament corporate bodies,,,Medical related CPF
Military related CPF,,,Slavery era related CPF
Military connected persons,,"Persons who are connected to the military, perhaps in informal ways, such as body servants or personal cooks.",Military related CPF
Military servants,,Persons who serve as servants in the military.,Military related CPF
Militiamen,,Persons who are members of a militia.,Military related CPF
Soldiers,,,Military related CPF
Military corporate bodies,,,Military related CPF
Management related CPF,,,Slavery era related CPF
Managed CPF,,CPF that are under managerial control.,Management related CPF
Managers,,Persons who manage others.,Management related CPF
Creation related CPF,,,Slavery era related CPF
Creative person/ creator,Inventive person,Persons who create something.,Creation related CPF
